path,png_width,png_height,png_exists,referenced_in
/images/ui/arrow_horizontal,24,63,yes,""
/images/ui/button,22,69,yes,""
/images/ui/button_rounded,22,69,yes,""
/images/ui/button_top,78,26,yes,""
/images/ui/button_top_blink,78,26,yes,""
/images/ui/checkbox,15,60,yes,""
/images/ui/checkbox_round,15,60,yes,""
/images/ui/colorbox,32,16,yes,""
/images/ui/combobox_rounded,91,92,yes,""
/images/ui/combobox_square,91,92,yes,""
/images/ui/discord,31,30,yes,""
/images/ui/icon_add,300,300,yes,""
/images/ui/item,32,32,yes,""
/images/ui/item-blessed,34,34,yes,""
/images/ui/menubox,32,32,yes,""
/images/ui/minipanel,50,54,yes,""
/images/ui/miniwindow,50,54,yes,""
/images/ui/miniwindow_buttons,140,42,yes,""
/images/ui/panel_bottom,61,61,yes,""
/images/ui/panel_flat,32,32,yes,""
/images/ui/panel_lightflat,32,32,yes,""
/images/ui/panel_top,256,36,yes,""
/images/ui/progressbar,80,16,yes,""
/images/ui/progressbar_thick,80,20,yes,""
/images/ui/progressbarhpmana,,,no,""
/images/ui/rotate_button,40,40,yes,""
/images/ui/scrollbar,52,78,yes,""
/images/ui/separator_horizontal,32,2,yes,""
/images/ui/separator_vertical,2,32,yes,""
/images/ui/spinbox_down,10,30,yes,""
/images/ui/spinbox_up,10,30,yes,""
/images/ui/tabbutton_rounded,22,69,yes,""
/images/ui/tabbutton_square,20,63,yes,""
/images/ui/textedit,32,32,yes,""
/images/ui/window,92,80,yes,""
/images/ui/window_headless,45,30,yes,""
